n,r,m
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 14.06, sex: M, auc_ug_h_per_mL: 5.87, dose_mg_per_kg: 100, day: 1})"
(:Exposure {name: Rat Exposure}),[:HAS_MEASUREMENT],"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 30.34, sex: M, auc_ug_h_per_mL: 18.45, dose_mg_per_kg: 100, day: 151})"
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 3.9, sex: F, auc_ug_h_per_mL: 1.6, dose_mg_per_kg: 10, day: 1})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 3.8, sex: F, auc_ug_h_per_mL: 2.2, dose_mg_per_kg: 10, day: 151})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 8.5, sex: F, auc_ug_h_per_mL: 4.4, dose_mg_per_kg: 25, day: 1})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 11.2, sex: F, auc_ug_h_per_mL: 5.8, dose_mg_per_kg: 25, day: 151})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 20, sex: F, auc_ug_h_per_mL: 8.7, dose_mg_per_kg: 50, day: 1})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 23.4, sex: F, auc_ug_h_per_mL: 13.8, dose_mg_per_kg: 50, day: 151})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 2.9, sex: M, auc_ug_h_per_mL: 1.3, dose_mg_per_kg: 10, day: 1})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 4.2, sex: M, auc_ug_h_per_mL: 2.7, dose_mg_per_kg: 10, day: 151})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 10.5, sex: M, auc_ug_h_per_mL: 4.3, dose_mg_per_kg: 25, day: 1})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 10.3, sex: M, auc_ug_h_per_mL: 6.1, dose_mg_per_kg: 25, day: 151})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 17.7, sex: M, auc_ug_h_per_mL: 9, dose_mg_per_kg: 50, day: 1})",null,null
"(:ExposureMeasurement {species: Dog, cmax_ug_per_mL: 21, sex: M, auc_ug_h_per_mL: 12.5, dose_mg_per_kg: 50, day: 151})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 1.85, sex: F, auc_ug_h_per_mL: 0.4, dose_mg_per_kg: 10, day: 1})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 2.48, sex: F, auc_ug_h_per_mL: 0.53, dose_mg_per_kg: 10, day: 151})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 4.56, sex: F, auc_ug_h_per_mL: 1.01, dose_mg_per_kg: 25, day: 1})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 6.15, sex: F, auc_ug_h_per_mL: 1.76, dose_mg_per_kg: 25, day: 151})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 23.87, sex: F, auc_ug_h_per_mL: 6.81, dose_mg_per_kg: 100, day: 1})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 37.1, sex: F, auc_ug_h_per_mL: 12.09, dose_mg_per_kg: 100, day: 151})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 1.14, sex: M, auc_ug_h_per_mL: 0.27, dose_mg_per_kg: 10, day: 1})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 2.63, sex: M, auc_ug_h_per_mL: 0.71, dose_mg_per_kg: 10, day: 151})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 3.13, sex: M, auc_ug_h_per_mL: 0.81, dose_mg_per_kg: 25, day: 1})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 7.64, sex: M, auc_ug_h_per_mL: 2.22, dose_mg_per_kg: 25, day: 151})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 14.06, sex: M, auc_ug_h_per_mL: 5.87, dose_mg_per_kg: 100, day: 1})",null,null
"(:ExposureMeasurement {species: Rat, cmax_ug_per_mL: 30.34, sex: M, auc_ug_h_per_mL: 18.45, dose_mg_per_kg: 100, day: 151})",null,null
(:Toxicity {name: Dog Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Dog, sex: M, dose_mg_per_kg: 50, value: 1, toxicity_metric: Testicular_tubular_atrophy_severity})"
(:Toxicity {name: Dog Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Dog, sex: F, dose_mg_per_kg: 50, value: 3, toxicity_metric: Lymph_node_atrophy_severity})"
(:Toxicity {name: Dog Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Dog, sex: F, dose_mg_per_kg: 50, value: 1, toxicity_metric: Thymus_atrophy_severity})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: -33.8, toxicity_metric: WBC_change_pct})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: F, dose_mg_per_kg: 100, value: -30.6, toxicity_metric: WBC_change_pct})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: -43.6, toxicity_metric: ALT_change_pct})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: F, dose_mg_per_kg: 100, value: -30.8, toxicity_metric: ALT_change_pct})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: 3, toxicity_metric: Thymus_atrophy_severity})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: F, dose_mg_per_kg: 100, value: 1, toxicity_metric: Thymus_atrophy_severity})"
(:Toxicity {name: Rat Toxicity}),[:HAS_MEASUREMENT],"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: 1, toxicity_metric: Cardiomyopathy_severity})"
"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: -33.8, toxicity_metric: WBC_change_pct})",null,null
"(:ToxicityMeasurement {species: Rat, sex: F, dose_mg_per_kg: 100, value: -30.6, toxicity_metric: WBC_change_pct})",null,null
"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: -43.6, toxicity_metric: ALT_change_pct})",null,null
"(:ToxicityMeasurement {species: Rat, sex: F, dose_mg_per_kg: 100, value: -30.8, toxicity_metric: ALT_change_pct})",null,null
"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: 3, toxicity_metric: Thymus_atrophy_severity})",null,null
"(:ToxicityMeasurement {species: Rat, sex: F, dose_mg_per_kg: 100, value: 1, toxicity_metric: Thymus_atrophy_severity})",null,null
"(:ToxicityMeasurement {species: Rat, sex: M, dose_mg_per_kg: 100, value: 1, toxicity_metric: Cardiomyopathy_severity})",null,null
"(:ToxicityMeasurement {species: Dog, sex: M, dose_mg_per_kg: 50, value: 1, toxicity_metric: Testicular_tubular_atrophy_severity})",null,null
"(:ToxicityMeasurement {species: Dog, sex: F, dose_mg_per_kg: 50, value: 3, toxicity_metric: Lymph_node_atrophy_severity})",null,null
"(:ToxicityMeasurement {species: Dog, sex: F, dose_mg_per_kg: 50, value: 1, toxicity_metric: Thymus_atrophy_severity})",null,null
"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 2.9, cmax_day1_ug_per_mL: 2.9, sex: M, auc_day1_ug_h_per_mL: 1.3, auc_day5_ug_h_per_mL: 1.7, auc_day151_ug_h_per_mL: 2.7, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 4.2})"
"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 4.5, cmax_day1_ug_per_mL: 3.9, sex: F, auc_day1_ug_h_per_mL: 1.6, auc_day5_ug_h_per_mL: 2.3, auc_day151_ug_h_per_mL: 2.2, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 3.8})"
"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 8.3, cmax_day1_ug_per_mL: 10.5, sex: M, auc_day1_ug_h_per_mL: 4.3, auc_day5_ug_h_per_mL: 4.2, auc_day151_ug_h_per_mL: 6.1, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 10.3})"
"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 8.4, cmax_day1_ug_per_mL: 8.5, sex: F, auc_day1_ug_h_per_mL: 4.4, auc_day5_ug_h_per_mL: 4.3, auc_day151_ug_h_per_mL: 5.8, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 11.2})"
"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 18.5, cmax_day1_ug_per_mL: 17.7, sex: M, auc_day1_ug_h_per_mL: 9, auc_day5_ug_h_per_mL: 9.8, auc_day151_ug_h_per_mL: 12.5, dose_mg_per_kg: 50, cmax_day151_ug_per_mL: 21})"
"(:ToxicokineticParameters {study: PXD101, name: Dog Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 20.3, cmax_day1_ug_per_mL: 20, sex: F, auc_day1_ug_h_per_mL: 8.7, auc_day5_ug_h_per_mL: 9.8, auc_day151_ug_h_per_mL: 13.8, dose_mg_per_kg: 50, cmax_day151_ug_per_mL: 23.4})"
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 2.9, cmax_day1_ug_per_mL: 2.9, sex: M, auc_day1_ug_h_per_mL: 1.3, auc_day5_ug_h_per_mL: 1.7, auc_day151_ug_h_per_mL: 2.7, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 4.2})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 4.5, cmax_day1_ug_per_mL: 3.9, sex: F, auc_day1_ug_h_per_mL: 1.6, auc_day5_ug_h_per_mL: 2.3, auc_day151_ug_h_per_mL: 2.2, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 3.8})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 8.3, cmax_day1_ug_per_mL: 10.5, sex: M, auc_day1_ug_h_per_mL: 4.3, auc_day5_ug_h_per_mL: 4.2, auc_day151_ug_h_per_mL: 6.1, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 10.3})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 8.4, cmax_day1_ug_per_mL: 8.5, sex: F, auc_day1_ug_h_per_mL: 4.4, auc_day5_ug_h_per_mL: 4.3, auc_day151_ug_h_per_mL: 5.8, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 11.2})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 18.5, cmax_day1_ug_per_mL: 17.7, sex: M, auc_day1_ug_h_per_mL: 9, auc_day5_ug_h_per_mL: 9.8, auc_day151_ug_h_per_mL: 12.5, dose_mg_per_kg: 50, cmax_day151_ug_per_mL: 21})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 20.3, cmax_day1_ug_per_mL: 20, sex: F, auc_day1_ug_h_per_mL: 8.7, auc_day5_ug_h_per_mL: 9.8, auc_day151_ug_h_per_mL: 13.8, dose_mg_per_kg: 50, cmax_day151_ug_per_mL: 23.4})",null,null
"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 1.25, cmax_day1_ug_per_mL: 1.14, sex: M, auc_day1_ug_h_per_mL: 0.27, auc_day5_ug_h_per_mL: 0.28, auc_day151_ug_h_per_mL: 0.71, dose_group: 2, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 2.63})"
"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 1.64, cmax_day1_ug_per_mL: 1.85, sex: F, auc_day1_ug_h_per_mL: 0.4, auc_day5_ug_h_per_mL: 0.39, auc_day151_ug_h_per_mL: 0.53, dose_group: 2, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 2.48})"
"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 4.66, cmax_day1_ug_per_mL: 3.13, sex: M, auc_day1_ug_h_per_mL: 0.81, auc_day5_ug_h_per_mL: 0.97, auc_day151_ug_h_per_mL: 2.22, dose_group: 3, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 7.64})"
"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 4.36, cmax_day1_ug_per_mL: 4.56, sex: F, auc_day1_ug_h_per_mL: 1.01, auc_day5_ug_h_per_mL: 1.13, auc_day151_ug_h_per_mL: 1.76, dose_group: 3, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 6.15})"
"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 17.71, cmax_day1_ug_per_mL: 14.06, sex: M, auc_day1_ug_h_per_mL: 5.87, auc_day5_ug_h_per_mL: 11.07, auc_day151_ug_h_per_mL: 18.45, dose_group: 4, dose_mg_per_kg: 100, cmax_day151_ug_per_mL: 30.34})"
"(:ToxicokineticParameters {study: PXD101, name: Rat Toxicokinetic Parameters})",[:HAS_MEASUREMENT],"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 23.65, cmax_day1_ug_per_mL: 23.87, sex: F, auc_day1_ug_h_per_mL: 6.81, auc_day5_ug_h_per_mL: 7.17, auc_day151_ug_h_per_mL: 12.09, dose_group: 4, dose_mg_per_kg: 100, cmax_day151_ug_per_mL: 37.1})"
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 1.25, cmax_day1_ug_per_mL: 1.14, sex: M, auc_day1_ug_h_per_mL: 0.27, auc_day5_ug_h_per_mL: 0.28, auc_day151_ug_h_per_mL: 0.71, dose_group: 2, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 2.63})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 1.64, cmax_day1_ug_per_mL: 1.85, sex: F, auc_day1_ug_h_per_mL: 0.4, auc_day5_ug_h_per_mL: 0.39, auc_day151_ug_h_per_mL: 0.53, dose_group: 2, dose_mg_per_kg: 10, cmax_day151_ug_per_mL: 2.48})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 4.66, cmax_day1_ug_per_mL: 3.13, sex: M, auc_day1_ug_h_per_mL: 0.81, auc_day5_ug_h_per_mL: 0.97, auc_day151_ug_h_per_mL: 2.22, dose_group: 3, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 7.64})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 4.36, cmax_day1_ug_per_mL: 4.56, sex: F, auc_day1_ug_h_per_mL: 1.01, auc_day5_ug_h_per_mL: 1.13, auc_day151_ug_h_per_mL: 1.76, dose_group: 3, dose_mg_per_kg: 25, cmax_day151_ug_per_mL: 6.15})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 17.71, cmax_day1_ug_per_mL: 14.06, sex: M, auc_day1_ug_h_per_mL: 5.87, auc_day5_ug_h_per_mL: 11.07, auc_day151_ug_h_per_mL: 18.45, dose_group: 4, dose_mg_per_kg: 100, cmax_day151_ug_per_mL: 30.34})",null,null
"(:ToxicokineticMeasurement {cmax_day5_ug_per_mL: 23.65, cmax_day1_ug_per_mL: 23.87, sex: F, auc_day1_ug_h_per_mL: 6.81, auc_day5_ug_h_per_mL: 7.17, auc_day151_ug_h_per_mL: 12.09, dose_group: 4, dose_mg_per_kg: 100, cmax_day151_ug_per_mL: 37.1})",null,null
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {female_50: 3a,1a, name: Mesenteric Lymph node - atrophy - lymphangiectasis, male_25: 2a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {name: Mandibular Lymph node - atrophy, male_25: 2a, female_10: 2a, female_25: 3a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {name: Spleen - lymphoid atrophy, male_25: 1a, female_10: 2a, female_25: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {male_50: 1p, female_50: 1a, name: Lungs findings, male_25: 1p, female_10: 1a, female_25: 1p, male_10: 1p,1a,1a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {female_50: 1a, name: Kidney - focal nephropathy})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {name: Kidney - inflammatory cell foci, male_25: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {name: Ileum - lymphoid atrophy, male_25: 2a, female_10: 1a, female_25: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {female_50: 1a, name: Cecum - lymphoid atrophy})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {female_50: 1a, name: Ovary findings, female_10: 1p,1p,1p, female_25: 3p,3p,2p})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {male_50: 1p,2p,1a,3p, name: Testes findings, male_25: 1p,2p, male_10: 3p,1a})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {male_50: 3b, name: Epididymis - exfoliated cells, male_25: 1a,2b, male_10: 1a,2b})"
"(:MicroscopicFindings {study: PXD101, name: Dog Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {name: Thymus - atrophy, male_25: 3a, female_10: 1a, female_25: 1a})"
"(:MicroscopicFinding {female_50: 3a,1a, name: Mesenteric Lymph node - atrophy - lymphangiectasis, male_25: 2a})",null,null
"(:MicroscopicFinding {name: Mandibular Lymph node - atrophy, male_25: 2a, female_10: 2a, female_25: 3a})",null,null
"(:MicroscopicFinding {name: Spleen - lymphoid atrophy, male_25: 1a, female_10: 2a, female_25: 1a})",null,null
"(:MicroscopicFinding {male_50: 1p, female_50: 1a, name: Lungs findings, male_25: 1p, female_10: 1a, female_25: 1p, male_10: 1p,1a,1a})",null,null
"(:MicroscopicFinding {female_50: 1a, name: Kidney - focal nephropathy})",null,null
"(:MicroscopicFinding {name: Kidney - inflammatory cell foci, male_25: 1a})",null,null
"(:MicroscopicFinding {name: Ileum - lymphoid atrophy, male_25: 2a, female_10: 1a, female_25: 1a})",null,null
"(:MicroscopicFinding {female_50: 1a, name: Cecum - lymphoid atrophy})",null,null
"(:MicroscopicFinding {female_50: 1a, name: Ovary findings, female_10: 1p,1p,1p, female_25: 3p,3p,2p})",null,null
"(:MicroscopicFinding {male_50: 1p,2p,1a,3p, name: Testes findings, male_25: 1p,2p, male_10: 3p,1a})",null,null
"(:MicroscopicFinding {male_50: 3b, name: Epididymis - exfoliated cells, male_25: 1a,2b, male_10: 1a,2b})",null,null
"(:MicroscopicFinding {name: Thymus - atrophy, male_25: 3a, female_10: 1a, female_25: 1a})",null,null
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Early Decedents, name: Heart - cardiomyopathy, male_100: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Early Decedents, name: Spleen - hematopoiesis, female_100: 1b, female_0: 1p, male_100: 1a,1b})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Early Decedents, name: Ovary - congestion/hemorrhage, female_25: 1p})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Early Decedents, name: Thymus - atrophy / congestion / hemorrhage, female_100: 1a, male_100: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Early Decedents, name: Tail lesions - phlebitis/dermatitis/edema/hemorrhage, female_100: 1c,1d, male_100: 2c,1d})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Terminal Sacrifice, male_0: 1a, name: Heart - inflammatory cell foci, female_0: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Terminal Sacrifice, male_0: 7a,1b, name: Spleen - hematopoiesis, female_100: 4a,3b,1c, male_25: 5a,1b, male_100: 5a,3b})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Terminal Sacrifice, name: Testes - tubular atrophy, male_100: 1a})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Terminal Sacrifice, name: Thymus - atrophy / congestion / hemorrhage, female_100: 1p, male_25: 2p, male_100: 3a})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Terminal Sacrifice, male_0: 4a, name: Tail lesions - phlebitis/dermatitis/edema/hemorrhage, female_100: 5a,3b, female_0: 4a,1b, male_25: 6a,1b, female_10: 4a, male_100: 3a,3b,1c, female_25: 2a,1b, male_10: 7a,1b})"
"(:MicroscopicFindings {study: PXD101, name: Rat Microscopic Findings})",[:HAS_FINDING],"(:MicroscopicFinding {phase: Recovery, name: Heart})"
"(:MicroscopicFinding {phase: Early Decedents, name: Heart - cardiomyopathy, male_100: 1a})",null,null
"(:MicroscopicFinding {phase: Early Decedents, name: Spleen - hematopoiesis, female_100: 1b, female_0: 1p, male_100: 1a,1b})",null,null
"(:MicroscopicFinding {phase: Early Decedents, name: Ovary - congestion/hemorrhage, female_25: 1p})",null,null
"(:MicroscopicFinding {phase: Early Decedents, name: Thymus - atrophy / congestion / hemorrhage, female_100: 1a, male_100: 1a})",null,null
"(:MicroscopicFinding {phase: Early Decedents, name: Tail lesions - phlebitis/dermatitis/edema/hemorrhage, female_100: 1c,1d, male_100: 2c,1d})",null,null
"(:MicroscopicFinding {phase: Terminal Sacrifice, male_0: 1a, name: Heart - inflammatory cell foci, female_0: 1a})",null,null
"(:MicroscopicFinding {phase: Terminal Sacrifice, male_0: 7a,1b, name: Spleen - hematopoiesis, female_100: 4a,3b,1c, male_25: 5a,1b, male_100: 5a,3b})",null,null
"(:MicroscopicFinding {phase: Terminal Sacrifice, name: Testes - tubular atrophy, male_100: 1a})",null,null
"(:MicroscopicFinding {phase: Terminal Sacrifice, name: Thymus - atrophy / congestion / hemorrhage, female_100: 1p, male_25: 2p, male_100: 3a})",null,null
"(:MicroscopicFinding {phase: Terminal Sacrifice, male_0: 4a, name: Tail lesions - phlebitis/dermatitis/edema/hemorrhage, female_100: 5a,3b, female_0: 4a,1b, male_25: 6a,1b, female_10: 4a, male_100: 3a,3b,1c, female_25: 2a,1b, male_10: 7a,1b})",null,null
"(:MicroscopicFinding {phase: Recovery, name: Heart})",null,null
"(:ClinicalData {phase: Phase I, ae_term: Thrombocytopenia / Anorexia, sponsor: Academic/Industry, median_duration_of_response: Median PFS 3.1 mo; OS 8.8 mo, study_id: PMID:29995287, source_link: https://pubmed.ncbi.nlm.nih.gov/29995287/, schedule: Days 1–5, 8–12, supportive_care: Supportive care given, ae_percentage: ~69%, route: Oral, sample_size: 27, disease_subtype: Advanced solid tumors, dose_level: 200 mg/day, study_design: Open-label, dose escalation, name: Resminostat Clinical Data, platelet: Thrombocytopenia, cycle_length: 21-day cycle, indication: Biliary tract / Pancreatic cancer, status: Completed, ae_count: 11})",null,null
"(:ClinicalData {phase: Phase I, ae_term: Nausea / Vomiting / Fatigue, sponsor: Novartis, study_id: PMC3795372, source_link: https://pmc.ncbi.nlm.nih.gov/articles/PMC3795372/, schedule: Days 1–3, route: Intravenous, sample_size: 39, dose_level: IV dose escalation, study_design: Dose escalation, name: Dacinostat Clinical Data, cycle_length: 21-day cycle, indication: Advanced solid tumors, status: Completed})",null,null
"(:ClinicalData {phase: Phase II, ae_term: Infections / Cytopenias, sponsor: MEI Pharma, median_duration_of_response: Median OS 19.1 mo; PFS 12.6 mo, grade34_aes: Grade ≥3 reported, source_link: https://pubmed.ncbi.nlm.nih.gov/30760466/, schedule: 3x weekly, supportive_care: Supportive care required, route: Oral, disease_subtype: Older unfit AML, dose_level: 60 mg, study_design: Interventional, anc: Neutropenia / Thrombocytopenia, name: Pracinostat Clinical Data, cycle_length: 28-day cycle, orr_percent: 42%, indication: Acute Myeloid Leukemia, status: Completed})",null,null
"(:ClinicalData {sponsor: Novartis, pr_rate_percent: 55, common_ae: Diarrhea, fatigue, grade34_aes: Hematologic, cardiac, study_id: PANORAMA-1, male_percent: 55, cmax: Affected by CYP3A inhibitors, age_range: Adult, sample_size: 768, infusion_duration: NA, clearance: Hepatic dependent, bilirubin_elevation: Observed, orr_percent: 60, dose_reductions_required: Common, phase: III, platelet_decrease: Thrombocytopenia frequent, median_age: 63, sae_reported: Yes, median_duration_of_response: Reported, protein_binding: Moderate, creatinine_clearance_impact: Minimal, cr_rate_percent: 5, median_time_to_response: Reported, auc: Increased with CYP3A inhibitors, source_link: https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/205353s000lbl.pdf, schedule: 3x weekly (combo), supportive_care: Hematologic support, alt_elevation: Observed, ast_elevation: Observed, death_count_study: Higher vs control arm, route: Oral, half_life: ≈30 hrs, disease_subtype: Relapsed/Refractory MM, dose_level: 20 mg, study_design: Randomized, multicenter, anc_decrease: Neutropenia frequent, name: Panobinostat Clinical Data, cycle_length: 21-day cycles, metabolism: CYP3A metabolism, indication: Multiple Myeloma, female_percent: 45, status: Completed})",null,null
